date,region,store,sale,price,salerep,endcap,demo,demo13,demo45
6/22/2009,1,103,134.71,4.37,0,no,0,0,0
6/29/2009,1,103,118.94,4.64,0,no,0,0,0
7/6/2009,1,103,206.22,3.9,0,no,0,0,0
7/13/2009,1,103,149.38,4.1,0,no,0,0,0
5/4/2009,1,32,152.35,4.37,0,no,0,0,0
5/11/2009,1,32,118.77,4.04,0,no,0,0,0
5/18/2009,1,32,147.82,3.84,0,no,0,0,0
5/25/2009,1,32,199.09,4.06,0,no,0,0,0
6/1/2009,1,32,160.97,3.84,0,no,0,0,0
6/8/2009,1,32,204.56,4.1,0,no,0,0,0
6/15/2009,1,32,189.29,4.12,0,no,0,0,0
6/22/2009,1,32,177.42,4.1,0,no,0,0,0
6/29/2009,1,32,173.99,4.12,0,no,0,0,0
7/6/2009,1,32,141.87,3.71,0,no,0,0,0
7/13/2009,1,32,232.06,3.71,0,no,0,0,0
5/4/2009,1,8,179.03,4.56,0,no,0,0,0
5/11/2009,1,8,238.28,4.21,0,no,0,0,0
5/18/2009,1,8,163.1,4.06,0,no,0,0,0
5/25/2009,1,8,239.58,4.06,0,no,0,0,0
6/1/2009,1,8,204.93,4.06,0,no,0,0,0
6/8/2009,1,8,156.41,4.38,0,no,0,0,0
6/15/2009,1,8,242.69,4.47,0,no,0,0,0
6/22/2009,1,8,239.12,4.47,0,no,0,0,0
6/29/2009,1,8,199.01,4.1,0,no,0,0,0
7/6/2009,1,8,107.13,4.19,0,no,0,0,0
7/13/2009,1,8,241.64,4.37,0,no,0,0,0
5/4/2009,1,80,201.31,4.39,0,no,0,0,0
5/11/2009,1,80,132.3,4.39,0,no,0,0,0
5/18/2009,1,80,165.57,4.01,0,no,0,0,0
5/25/2009,1,80,191.7,3.81,0,no,0,0,0
6/1/2009,1,80,182.74,4.15,0,no,0,0,0
6/8/2009,1,80,209.1,4.36,0,no,0,0,0
6/15/2009,1,80,239.34,4.36,0,no,0,0,0
6/22/2009,1,80,137.87,4.12,0,no,0,0,0
6/29/2009,1,80,238.4,4.34,0,no,0,0,0
7/6/2009,1,80,237.23,4.09,0,no,0,0,0
7/13/2009,1,80,111.45,4.09,0,no,0,0,0
5/4/2009,1,98,128.69,4.39,0,no,0,0,0
5/11/2009,1,98,281.95,4.39,0,no,0,0,0
5/18/2009,1,98,197.53,4.15,0,no,0,0,0
5/25/2009,1,98,265.48,4.22,0,yes,0,0,0
6/1/2009,1,98,230.49,3.96,0,yes,0,0,0
6/8/2009,1,98,119.23,4.12,0,yes,0,0,0
6/15/2009,1,98,172.05,4.22,0,yes,0,0,0
6/22/2009,1,98,189.21,4.6,0,yes,0,0,0
6/29/2009,1,98,222.54,4.1,0,yes,0,0,0
7/6/2009,1,98,115.9,3.91,0,no,0,0,0
7/13/2009,1,98,177.1,3.99,0,no,0,0,0
5/4/2009,11,5,155.87,3.9,0,no,0,0,0
5/11/2009,11,5,193.51,3.54,0,no,0,0,0
5/18/2009,11,5,309.49,3.48,0,no,0,0,0
5/25/2009,11,5,254.93,3.6,0,no,0,0,0
6/1/2009,11,5,195.31,3.48,0,no,0,0,0
6/8/2009,11,5,267.94,4.06,0,no,1,0,0
6/15/2009,11,5,247.13,4.06,0,no,0,1,0
6/22/2009,11,5,299.34,3.71,0,no,0,1,0
6/29/2009,11,5,265.72,4.04,0,no,0,1,0
7/6/2009,11,5,259.04,3.71,0,no,0,0,1
7/13/2009,11,5,280.66,3.71,0,no,0,0,1
5/4/2009,11,114,138.23,3.94,0,no,0,0,0
5/11/2009,11,114,263.24,3.52,0,no,0,0,0
5/18/2009,11,114,119.96,3.55,0,no,0,0,0
5/25/2009,11,114,212.36,3.44,0,no,0,0,0
6/1/2009,11,114,167.09,3.55,0,no,0,0,0
6/8/2009,11,114,293.52,3.52,0,yes,1,0,0
6/15/2009,11,114,207.82,3.63,0,yes,0,1,0
6/22/2009,11,114,273.71,3.63,0,yes,0,1,0
6/29/2009,11,114,252.25,3.52,0,yes,0,1,0
7/6/2009,11,114,299.64,3.2,0,yes,0,0,1
7/13/2009,11,114,305.57,3.2,0,yes,0,0,1
5/4/2009,11,50,170.7,3.9,0,no,0,0,0
5/11/2009,11,50,115.69,3.9,0,no,0,0,0
5/18/2009,11,50,162.41,3.62,0,no,0,0,0
5/25/2009,11,50,257.49,3.78,0,no,0,0,0
6/1/2009,11,50,248.69,3.78,0,no,0,0,0
6/8/2009,11,50,151.29,3.75,0,no,0,0,0
6/15/2009,11,50,155.61,3.94,0,no,0,0,0
6/22/2009,11,50,110.56,3.86,0,no,0,0,0
6/29/2009,11,50,233.26,3.97,0,no,0,0,0
7/6/2009,11,50,228.33,3.47,0,no,0,0,0
7/13/2009,11,50,221.79,3.47,0,no,0,0,0
5/4/2009,11,20,326.96,4.12,0,no,0,0,1
5/11/2009,11,20,172.14,4.13,0,no,0,0,1
5/18/2009,11,20,209.3,3.62,0,no,0,0,0
5/25/2009,11,20,158.7,3.76,0,no,0,0,0
6/1/2009,11,20,203.48,3.78,0,no,0,0,0
6/8/2009,11,20,183.1,3.63,0,no,0,0,0
6/15/2009,11,20,162.4,3.75,0,no,0,0,0
6/22/2009,11,20,372.17,3.74,0,no,1,0,0
6/29/2009,11,20,389.76,3.74,0,no,0,1,0
7/6/2009,11,20,302.68,3.5,0,no,0,1,0
7/13/2009,11,20,301.9,3.5,0,no,0,1,0
5/4/2009,11,26,137.12,3.9,0,no,0,0,0
5/11/2009,11,26,184.92,3.54,0,no,0,0,0
5/18/2009,11,26,169.84,3.34,0,no,0,0,0
5/25/2009,11,26,219.35,3.34,0,no,0,0,0
6/1/2009,11,26,148.64,3.34,0,no,0,0,0
6/8/2009,11,26,292.91,3.54,0,no,0,0,0
6/15/2009,11,26,222.28,3.54,0,no,0,0,0
6/22/2009,11,26,148.15,3.63,0,no,0,0,0
6/29/2009,11,26,270.14,3.75,0,no,0,0,0
7/6/2009,11,26,194.18,3.25,0,no,0,0,0
7/13/2009,11,26,170.54,3.13,0,no,0,0,0
5/4/2009,11,38,171.57,3.62,0,no,0,0,0
5/11/2009,11,38,227.66,3.62,0,no,0,0,0
5/18/2009,11,38,186.25,3.34,0,no,0,0,0
5/25/2009,11,38,235.95,3.36,0,no,0,0,0
6/1/2009,11,38,193.9,3.34,0,no,0,0,0
6/8/2009,11,38,293.98,3.54,0,no,1,0,0
6/15/2009,11,38,288.1,3.54,0,no,0,1,0
6/22/2009,11,38,220.35,3.52,0,no,0,1,0
6/29/2009,11,38,309.78,3.63,0,no,0,1,0
7/6/2009,11,38,252.82,3.13,0,no,0,0,1
7/13/2009,11,38,274.33,3.2,0,no,0,0,1
5/4/2009,11,48,221.18,3.9,0,no,0,0,0
5/11/2009,11,48,213.03,3.9,0,no,0,0,0
5/18/2009,11,48,239.82,3.62,0,no,0,0,0
5/25/2009,11,48,230.58,3.62,0,no,0,0,0
6/1/2009,11,48,192.08,3.62,0,no,0,0,0
6/8/2009,11,48,241.41,3.9,0,no,0,0,0
6/15/2009,11,48,129.92,3.9,0,no,0,0,0
6/22/2009,11,48,186.57,3.54,0,no,0,0,0
6/29/2009,11,48,349.82,3.54,0,no,1,0,0
7/6/2009,11,48,285.29,3.13,0,no,0,1,0
7/13/2009,11,48,272.73,3.25,0,no,0,1,0
5/4/2009,11,51,133.17,3.9,0,no,0,0,0
5/11/2009,11,51,228.09,3.54,0,no,0,0,0
5/18/2009,11,51,169.67,3.34,0,no,0,0,0
5/25/2009,11,51,182,3.5,0,no,0,0,0
6/1/2009,11,51,249.76,3.34,0,no,0,0,0
6/8/2009,11,51,200.28,3.54,0,no,0,0,0
6/15/2009,11,51,203.48,3.54,0,no,1,0,0
6/22/2009,11,51,344.8,3.54,0,no,0,1,0
6/29/2009,11,51,266.02,3.63,0,no,0,1,0
7/6/2009,11,51,299.91,3.13,0,no,0,1,0
7/13/2009,11,51,332.74,3.06,0,no,0,0,1
5/4/2009,11,57,245.8,3.97,0,no,0,0,0
5/11/2009,11,57,215.65,4.06,0,no,0,0,0
5/18/2009,11,57,138.31,3.6,0,no,0,0,0
5/25/2009,11,57,201.37,3.6,0,no,0,0,0
6/1/2009,11,57,256.99,3.6,0,no,0,0,0
6/8/2009,11,57,188.1,4.06,0,no,0,0,0
6/15/2009,11,57,124.39,4.06,0,no,0,0,0
6/22/2009,11,57,156.17,3.74,0,no,0,0,0
6/29/2009,11,57,288.23,4.06,0,no,0,0,0
7/6/2009,11,57,148.27,3.71,0,no,0,0,0
7/13/2009,11,57,142.46,3.71,0,no,0,0,0
5/4/2009,11,58,257.28,3.76,0,no,0,0,0
5/11/2009,11,58,164.28,3.52,0,no,0,0,0
5/18/2009,11,58,80.53,3.36,0,no,0,0,0
5/25/2009,11,58,271.66,3.34,0,no,0,0,0
6/1/2009,11,58,208.29,3.44,0,no,0,0,0
6/8/2009,11,58,332.28,3.51,0,no,1,0,0
6/15/2009,11,58,314.44,3.52,0,no,0,1,0
6/22/2009,11,58,305.09,3.52,0,no,0,1,0
6/29/2009,11,58,224.29,3.52,0,no,0,1,0
7/6/2009,11,58,215.48,3.06,0,no,0,0,1
7/13/2009,11,58,322.7,3.06,0,no,0,0,1
5/4/2009,11,63,237.72,3.9,0,no,0,0,0
5/11/2009,11,63,149.32,3.9,0,no,0,0,0
5/18/2009,11,63,103.9,3.62,0,no,0,0,0
5/25/2009,11,63,141.21,3.62,0,no,0,0,0
6/1/2009,11,63,216.53,3.62,0,no,0,0,0
6/8/2009,11,63,352.43,3.9,0,no,1,0,0
6/15/2009,11,63,186.67,3.9,0,no,0,1,0
6/22/2009,11,63,290.78,3.9,0,no,0,1,0
6/29/2009,11,63,273.34,3.9,0,no,0,1,0
7/6/2009,11,63,299.31,3.61,0,no,0,0,1
7/13/2009,11,63,249.27,3.61,0,no,0,0,1
5/4/2009,11,69,113.51,3.9,0,no,0,0,0
5/11/2009,11,69,267.53,3.54,0,no,0,0,0
5/18/2009,11,69,175.83,3.34,0,no,0,0,0
5/25/2009,11,69,235.57,3.41,0,no,0,0,0
6/1/2009,11,69,151.34,3.34,0,no,0,0,0
6/8/2009,11,69,211.42,3.63,0,no,0,0,0
6/15/2009,11,69,272.3,3.54,0,no,0,0,0
6/22/2009,11,69,163.03,3.54,0,no,0,0,0
6/29/2009,11,69,170.96,3.54,0,no,0,0,0
7/6/2009,11,69,176.15,3.13,0,no,0,0,0
7/13/2009,11,69,145.65,3.13,0,no,0,0,0
5/4/2009,11,70,136.57,4.13,0,no,0,0,0
5/11/2009,11,70,274.91,3.54,0,no,0,0,0
5/18/2009,11,70,201.69,3.6,0,no,0,0,0
5/25/2009,11,70,173.89,3.6,0,no,0,0,0
6/1/2009,11,70,253.96,3.6,0,no,0,0,0
6/8/2009,11,70,236.75,4.06,0,no,0,0,0
6/15/2009,11,70,269.81,4.06,0,no,0,0,0
6/22/2009,11,70,348.93,4.06,0,no,1,0,0
6/29/2009,11,70,243.09,4.06,0,no,0,1,0
7/6/2009,11,70,273.53,3.71,0,no,0,1,0
7/13/2009,11,70,286.31,3.71,0,no,0,1,0
5/4/2009,11,77,156.63,3.9,0,no,0,0,0
5/11/2009,11,77,170.64,3.63,0,no,0,0,0
5/18/2009,11,77,186.4,3.34,0,no,0,0,0
5/25/2009,11,77,250.88,3.41,0,no,0,0,0
6/1/2009,11,77,199.69,3.4,0,no,0,0,0
6/8/2009,11,77,148.63,3.9,0,no,0,0,0
6/15/2009,11,77,320.94,3.9,0,no,0,0,0
6/22/2009,11,77,187.73,3.9,0,no,0,0,0
6/29/2009,11,77,235.13,3.9,0,no,0,0,0
7/6/2009,11,77,215.64,3.61,0,no,0,0,0
7/13/2009,11,77,215.03,3.61,0,no,0,0,0
5/4/2009,11,83,163.58,4.14,0,no,0,0,0
5/11/2009,11,83,240.14,3.74,0,no,0,0,0
5/18/2009,11,83,173.96,3.66,0,no,0,0,0
5/25/2009,11,83,208.73,3.34,0,no,0,0,0
6/1/2009,11,83,241.91,3.48,0,no,0,0,0
6/8/2009,11,83,199.37,3.74,0,no,0,0,0
6/15/2009,11,83,128.16,3.74,0,no,0,0,0
6/22/2009,11,83,294.96,3.74,0,no,1,0,0
6/29/2009,11,83,174.59,3.83,0,no,0,1,0
7/6/2009,11,83,336.47,3.36,0,no,0,1,0
7/13/2009,11,83,307.94,3.36,0,no,0,1,0
5/4/2009,11,88,171.97,3.9,0,no,0,0,0
5/11/2009,11,88,254.5,3.9,0,no,0,0,0
5/18/2009,11,88,169.6,3.34,0,no,0,0,0
5/25/2009,11,88,128.24,3.34,0,no,0,0,0
6/1/2009,11,88,220.52,3.34,0,no,0,0,0
6/8/2009,11,88,262.89,3.54,0,no,0,0,0
6/15/2009,11,88,309.22,3.54,0,no,0,0,0
6/22/2009,11,88,243.57,3.54,0,no,1,0,0
6/29/2009,11,88,234.53,3.54,0,no,0,1,0
7/6/2009,11,88,323.55,3.13,0,no,0,1,0
7/13/2009,11,88,298.39,3.13,0,no,0,1,0
5/4/2009,11,100,202.69,3.9,0,no,0,0,0
5/11/2009,11,100,277.15,3.9,0,no,0,0,0
5/18/2009,11,100,184.94,3.78,0,no,0,0,0
5/25/2009,11,100,269.43,3.62,0,no,0,0,0
6/1/2009,11,100,226.95,3.5,0,no,0,0,0
6/8/2009,11,100,51.73,3.97,0,no,0,0,0
6/15/2009,11,100,215.31,3.75,0,no,0,0,0
6/22/2009,11,100,261.72,3.84,0,no,0,0,0
6/29/2009,11,100,196.77,3.84,0,no,0,0,0
7/6/2009,11,100,141,3.37,0,no,0,0,0
7/13/2009,11,100,201.6,3.66,0,no,0,0,0
5/4/2009,11,109,185.38,3.75,0,no,0,0,0
5/11/2009,11,109,220.86,3.54,0,no,0,0,0
5/18/2009,11,109,180.13,3.34,0,no,0,0,0
5/25/2009,11,109,221.74,3.34,0,no,0,0,0
6/1/2009,11,109,196.87,3.41,0,no,0,0,0
6/8/2009,11,109,233.5,3.63,0,no,0,0,0
6/15/2009,11,109,312.24,3.75,0,no,1,0,0
6/22/2009,11,109,257.85,3.63,0,no,0,1,0
6/29/2009,11,109,276.05,4.06,0,no,0,1,0
7/6/2009,11,109,330.72,3.13,0,no,0,1,0
7/13/2009,11,109,320.61,3.53,0,no,0,0,1
5/4/2009,11,115,204.41,3.57,0,no,0,0,0
5/11/2009,11,115,177.7,3.54,0,no,0,0,0
5/18/2009,11,115,98.1,3.34,0,no,0,0,0
5/25/2009,11,115,177.76,3.41,0,no,0,0,0
6/1/2009,11,115,213.9,3.34,0,no,0,0,0
6/8/2009,11,115,193.92,3.63,0,no,0,0,0
6/15/2009,11,115,201.35,3.48,0,no,0,0,0
6/22/2009,11,115,195.15,3.54,0,no,0,0,0
6/29/2009,11,115,177.59,3.54,0,no,0,0,0
7/6/2009,11,115,173.67,3.13,0,no,0,0,0
7/13/2009,11,115,158.12,3.41,0,no,0,0,0
5/4/2009,2,4,171.02,4.19,1,no,0,0,0
5/11/2009,2,4,213.93,4.69,1,no,0,0,0
5/18/2009,2,4,303.14,4.15,1,no,0,0,0
5/25/2009,2,4,234.53,4.3,1,no,0,0,0
6/1/2009,2,4,269.09,3.67,1,no,0,0,0
6/8/2009,2,4,300.55,4.06,1,no,0,0,0
6/15/2009,2,4,288.18,4.39,1,no,1,0,0
6/22/2009,2,4,396.25,4.39,1,no,1,1,0
6/29/2009,2,4,256.55,3.74,1,no,0,1,0
7/6/2009,2,4,295.9,3.91,1,no,0,1,0
7/13/2009,2,4,456.47,4.11,1,no,0,1,1
5/4/2009,2,23,309.37,4.61,1,no,0,0,0
5/11/2009,2,23,350.67,4.59,1,no,0,0,0
5/18/2009,2,23,346.59,3.77,1,no,0,0,0
5/25/2009,2,23,265.65,3.71,1,no,0,0,0
6/1/2009,2,23,288.29,4.14,1,no,0,0,0
6/8/2009,2,23,344.06,4.08,1,no,1,0,0
6/15/2009,2,23,308.46,4.08,1,no,0,1,0
6/22/2009,2,23,350.9,3.59,1,no,0,1,0
6/29/2009,2,23,333.07,4.06,1,no,0,1,0
7/6/2009,2,23,352.88,3.37,1,no,0,0,1
7/13/2009,2,23,348.12,4.11,1,no,0,0,1
5/4/2009,2,37,314.56,4.17,1,no,0,0,0
5/11/2009,2,37,197.93,4.17,1,no,0,0,0
5/18/2009,2,37,204.79,3.54,1,no,0,0,0
5/25/2009,2,37,181.47,3.64,1,no,0,0,0
6/1/2009,2,37,287.24,3.54,1,no,0,0,0
6/8/2009,2,37,112.29,3.77,1,no,0,0,0
6/15/2009,2,37,232.4,3.82,1,no,0,0,0
6/22/2009,2,37,227.44,3.82,1,no,0,0,0
6/29/2009,2,37,279.66,3.82,1,no,0,0,0
7/6/2009,2,37,253.47,3.37,1,no,0,0,0
7/13/2009,2,37,231.83,3.37,1,no,0,0,0
5/4/2009,2,40,207.12,4.61,1,no,0,0,0
5/11/2009,2,40,191,4.61,1,no,0,0,0
5/18/2009,2,40,209.2,4,1,no,0,0,0
5/25/2009,2,40,334.17,3.83,1,no,0,0,0
6/1/2009,2,40,269.54,3.73,1,no,0,0,0
6/8/2009,2,40,345.83,4.1,1,no,0,0,0
6/15/2009,2,40,232.06,4.08,1,no,0,0,0
6/22/2009,2,40,196.24,4.1,1,no,0,0,0
6/29/2009,2,40,269.96,4.08,1,no,0,0,0
7/6/2009,2,40,256.61,3.54,1,no,0,0,0
7/13/2009,2,40,244.19,3.5,1,no,0,0,0
5/4/2009,2,52,173.61,4.55,1,no,0,0,0
5/11/2009,2,52,279.77,4.02,1,no,0,0,0
5/18/2009,2,52,237.15,3.73,1,no,0,0,0
5/25/2009,2,52,253.02,3.73,1,no,0,0,0
6/1/2009,2,52,208.06,3.9,1,no,0,0,0
6/8/2009,2,52,275.4,4.1,1,no,0,0,0
6/15/2009,2,52,272.45,4.62,1,no,0,0,0
6/22/2009,2,52,257.06,4.1,1,no,0,0,0
6/29/2009,2,52,347.23,4.34,1,no,1,0,0
7/6/2009,2,52,288.62,3.68,1,no,0,1,0
7/13/2009,2,52,330.86,3.63,1,no,0,1,0
5/4/2009,2,53,66.39,4.61,1,no,0,0,0
5/11/2009,2,53,267.69,4.61,1,no,0,0,0
5/18/2009,2,53,191.37,4,1,no,0,0,0
5/25/2009,2,53,285.86,3.96,1,no,0,0,0
6/1/2009,2,53,275.69,3.67,1,no,0,0,0
6/8/2009,2,53,226.23,4.08,1,no,0,0,0
6/15/2009,2,53,413.48,3.77,1,no,1,0,0
6/22/2009,2,53,326.33,4.08,1,no,0,1,0
6/29/2009,2,53,460.87,4.48,1,no,1,1,0
7/6/2009,2,53,352.88,3.68,1,no,0,1,0
7/13/2009,2,53,412.96,3.48,1,no,0,1,1
5/4/2009,2,62,248.87,4.17,1,no,0,0,0
5/11/2009,2,62,332.24,4.17,1,no,0,0,0
5/18/2009,2,62,309.79,3.77,1,no,0,0,0
5/25/2009,2,62,201.86,4,1,no,0,0,0
6/1/2009,2,62,245.54,3.83,1,no,0,0,0
6/8/2009,2,62,210.87,4.17,1,no,0,0,0
6/15/2009,2,62,359.96,4.21,1,no,1,0,0
6/22/2009,2,62,263.17,4.54,1,no,0,1,0
6/29/2009,2,62,370.37,4.36,1,no,0,1,0
7/6/2009,2,62,242.77,3.88,1,no,0,1,0
7/13/2009,2,62,375.25,3.88,1,no,0,0,1
5/4/2009,2,66,157.73,4.55,1,no,0,0,0
5/11/2009,2,66,301.31,4.86,1,no,0,0,0
5/18/2009,2,66,238.59,4.14,1,no,0,0,0
5/25/2009,2,66,315.89,4.14,1,no,0,0,0
6/1/2009,2,66,220.1,4.14,1,no,0,0,0
6/8/2009,2,66,368.08,4.34,1,no,1,0,0
6/15/2009,2,66,325.73,4.1,1,no,0,1,0
6/22/2009,2,66,379.69,4.12,1,no,1,1,0
6/29/2009,2,66,348.66,4.09,1,no,0,1,0
7/6/2009,2,66,416.25,3.95,1,no,0,1,1
7/13/2009,2,66,471.98,3.95,1,no,0,1,1
5/4/2009,2,68,359.43,3.5,1,no,0,0,0
5/11/2009,2,68,262,3.5,1,no,0,0,0
5/18/2009,2,68,247,3.51,1,no,0,0,0
5/25/2009,2,68,232.13,3.49,1,no,0,0,0
6/1/2009,2,68,284.23,3.65,1,no,0,0,0
6/8/2009,2,68,329.25,2.94,1,no,1,0,0
6/15/2009,2,68,373.44,2.9,1,no,0,1,0
6/22/2009,2,68,335.26,3.39,1,no,0,1,0
6/29/2009,2,68,408.44,3.08,1,no,0,1,0
7/6/2009,2,68,341.32,3.69,1,no,0,0,1
7/13/2009,2,68,324.48,3.36,1,no,0,0,1
5/4/2009,2,72,226.84,4.19,1,no,0,0,0
5/11/2009,2,72,319.37,4.17,1,no,0,0,0
5/18/2009,2,72,279.94,3.77,1,no,0,0,0
5/25/2009,2,72,197.51,3.77,1,no,0,0,0
6/1/2009,2,72,280.71,3.69,1,no,0,0,0
6/8/2009,2,72,220.51,3.81,1,no,0,0,0
6/15/2009,2,72,270.49,4.08,1,no,0,0,0
6/22/2009,2,72,350.24,3.82,1,no,1,0,0
6/29/2009,2,72,320.68,4.22,1,no,0,1,0
7/6/2009,2,72,270.88,3.74,1,no,0,1,0
7/13/2009,2,72,373.01,3.44,1,no,0,1,0
5/4/2009,2,86,180.49,3.83,1,no,0,0,0
5/11/2009,2,86,224.63,3.77,1,no,0,0,0
5/18/2009,2,86,213.24,3.6,1,no,0,0,0
5/25/2009,2,86,184.03,3.54,1,no,0,0,0
6/1/2009,2,86,264.33,3.64,1,no,0,0,0
6/8/2009,2,86,239.65,3.84,1,no,0,0,0
6/15/2009,2,86,334.02,3.79,1,no,0,0,0
6/22/2009,2,86,203.48,3.77,1,no,0,0,0
6/29/2009,2,86,243.96,3.72,1,no,0,0,0
7/6/2009,2,86,277.35,3.3,1,no,0,0,0
7/13/2009,2,86,337.16,3.3,1,no,0,0,0
5/4/2009,2,99,287.91,4.19,1,no,0,0,0
5/11/2009,2,99,283.36,4.17,1,no,0,0,0
5/18/2009,2,99,240.78,3.54,1,no,0,0,0
5/25/2009,2,99,190.79,3.73,1,no,0,0,0
6/1/2009,2,99,182.68,3.83,1,no,0,0,0
6/8/2009,2,99,295.77,3.93,1,no,0,0,0
6/15/2009,2,99,227.79,3.74,1,no,0,0,0
6/22/2009,2,99,180.26,3.74,1,no,0,0,0
6/29/2009,2,99,171.32,3.64,1,no,0,0,0
7/6/2009,2,99,305.2,3.52,1,no,0,0,0
7/13/2009,2,99,260.91,3.78,1,no,0,0,0
5/4/2009,2,102,194.99,4.17,1,no,0,0,0
5/11/2009,2,102,272,4.55,1,no,0,0,0
5/18/2009,2,102,287.81,3.63,1,no,0,0,0
5/25/2009,2,102,249.91,3.76,1,no,0,0,0
6/1/2009,2,102,331.07,3.68,1,no,0,0,0
6/8/2009,2,102,294.78,4.1,1,no,0,0,0
6/15/2009,2,102,428.26,4.1,1,no,0,0,0
6/22/2009,2,102,303.94,4.34,1,no,1,0,0
6/29/2009,2,102,422.67,3.39,1,no,1,1,0
7/6/2009,2,102,305.53,3.58,1,no,0,1,0
7/13/2009,2,102,363.06,2.95,1,no,0,1,0
5/4/2009,2,117,232.26,4.17,1,no,0,0,0
5/11/2009,2,117,221.15,4.17,1,no,0,0,0
5/18/2009,2,117,283.47,4,1,no,0,0,0
5/25/2009,2,117,238.08,3.83,1,no,0,0,0
6/1/2009,2,117,252.73,4,1,no,0,0,0
6/8/2009,2,117,299.9,4.55,1,no,0,0,0
6/15/2009,2,117,289.22,4.55,1,no,0,0,0
6/22/2009,2,117,400.74,4.55,1,no,1,0,0
6/29/2009,2,117,311.81,3.72,1,no,0,1,0
7/6/2009,2,117,338.58,3.57,1,no,0,1,0
7/13/2009,2,117,214.46,3.57,1,no,0,1,0
5/4/2009,2,122,268.61,4.61,1,no,0,0,0
5/11/2009,2,122,341.01,4.61,1,no,0,0,0
5/18/2009,2,122,175.19,4.07,1,no,0,0,0
5/25/2009,2,122,219.94,4.07,1,no,0,0,0
6/1/2009,2,122,306.68,3.71,1,no,0,0,0
6/8/2009,2,122,215.11,4.1,1,no,0,0,0
6/15/2009,2,122,196.45,4.39,1,no,1,0,0
6/22/2009,2,122,366.06,4.08,1,no,0,1,0
6/29/2009,2,122,260.08,4.06,1,no,0,1,0
7/6/2009,2,122,345.85,3.63,1,no,0,1,0
7/13/2009,2,122,346.95,3.66,1,no,0,0,1
5/4/2009,2,124,236.52,4.55,1,no,0,0,0
5/11/2009,2,124,200.76,4.1,1,no,0,0,0
5/18/2009,2,124,255.7,3.94,1,no,0,0,0
5/25/2009,2,124,269.47,3.84,1,no,0,0,0
6/1/2009,2,124,199.05,3.73,1,no,0,0,0
6/8/2009,2,124,239.13,4.34,1,no,0,0,0
6/15/2009,2,124,257.54,4.1,1,no,0,0,0
6/22/2009,2,124,467.47,4.1,1,no,1,0,0
6/29/2009,2,124,488,4.34,1,no,1,1,0
7/6/2009,2,124,296.34,3.68,1,no,0,1,0
7/13/2009,2,124,329.35,3.95,1,no,0,1,0
5/4/2009,3,9,185.93,4.2,0,no,0,0,0
5/11/2009,3,9,139.78,4.2,0,no,0,0,0
5/18/2009,3,9,148.04,3.76,0,no,0,0,0
5/25/2009,3,9,188.05,3.86,0,no,0,0,0
6/1/2009,3,9,186.24,3.86,0,no,0,0,0
6/8/2009,3,9,167.51,4.2,0,no,0,0,0
6/15/2009,3,9,106.25,4.16,0,no,0,0,0
6/22/2009,3,9,167.94,4.12,0,no,0,0,0
